,Linked Name,Name,dist,id
0,E. El Hadary,Essam El-Hadary,0.7923540669856459,188033
1,A. Gabr,Ali Gabr,0.9674603174603175,226077
2,A. Elmohamady,Ahmed Elmohamady,0.8908816425120774,191005
3,S. Salles-Lamonge,Omar Gaber,0.6910774410774411,232116
4,S. Morsy,Sam Morsy,0.8888481084133258,197975
5,A. Hegazi,Ahmed Hegazi,0.8664408866995075,210648
6,A. Al Salem,Ahmed Fathy,0.6739391213075424,211395
7,M. Hoedemakers,Tarek Hamed,0.7060185185185185,242381
8,S. Muwashar,Marwan Mohsen,0.7306878306878307,210202
9,M. Salah,Mohamed Salah,0.8067847593582887,209331
10,Kahraba,Kahraba,0.9764705882352941,219740
11,A. Al Sahabi,Ayman Ashraf,0.7539473684210525,210783
12,M. Abdul Shafy,Mohamed Abdel-Shafy,0.6801346801346803,212088
13,R. Sobhi,Ramadan Sobhi,0.9050724637681159,233601
14,M. Ichimaru,Mahmoud Hamdy,0.653030303030303,232637
15,S. Al Jaman,Sherif Ekramy,0.6851851851851851,223629
16,M. Elneny,Mohamed Elneny,0.7955357142857143,213051
17,Shikabala,Shikabala,0.975,170828
18,A. Sagal,Abdallah Said,0.6516339869281046,214817
19,M. Zakaria,Saad Samir,0.7483660130718954,226079
20,Trezeguet,Trézéguet,0.8438095238095239,226078
21,A. Frara,Amr Warda,0.6921172509407804,101904
22,A. Amadi-Holloway,Mohamed El-Shenawy,0.6497222222222222,203504
23,I. Akinfeev,Igor Akinfeev,0.9488636363636365,148119
24,Mário Fernandes,Mário Fernandes,1.0,193525
25,I. Kutepov,Ilya Kutepov,0.8615802675585285,210468
26,S. Ignashevich,Sergei Ignashevich,0.8737758620689654,112542
27,A. Akhyadov,Andrei Semyonov,0.7401552795031057,201214
28,D. Cheryshev,Denis Cheryshev,0.7897142857142858,206225
29,L. Paredes,Daler Kuzyayev,0.8083333333333335,207439
30,Y. Gazinskiy,Yury Gazinsky,0.833433014354067,216335
31,A. Dzagoev,Alan Dzagoev,0.916583850931677,187735
32,F. Smolov,Fyodor Smolov,0.7334988540870894,187491
33,J. Ananidze,Roman Zobnin,0.8127125506072873,193897
34,A. Lunev,Andrey Lunyov,0.8552747252747253,229909
35,F. Kudryashov,Fyodor Kudryashov,0.8687111801242235,181795
36,V. Granat,Vladimir Granat,0.7937044534412955,187415
37,A. Miranchuk,Aleksei Miranchuk,0.8458513708513709,214092
38,A. Miranchuk,Anton Miranchuk,0.8172427035330261,214092
39,A. Gordyushenko,Aleksandr Golovin,0.8350149850149851,225479
40,A. Panyukov,Yuri Zhirkov,0.8037026224882012,210604
41,A. Samedov,Aleksandr Samedov,0.8318197755960728,147621
42,V. Gabulov,Vladimir Gabulov,0.7672222222222221,147579
43,A. Erokhin,Aleksandr Yerokhin,0.7502777777777778,203629
44,A. Dzyuba,Artem Dzyuba,0.8607142857142858,187607
45,I. Smolnikov,Igor Smolnikov,0.8912500000000001,187347
46,M. Al Shalhoub,Abdullah Al-Mayouf,0.6716029068970246,168879
47,Mano,Mansoor Al-Harbi,0.8077513279559315,184807
48,O. Hawsawi,Osama Hawsawi,0.8014880952380952,191256
49,A. Al Bulayhi,Ali Al-Bulaihi,0.7334988540870894,229851
50,O. Hawsawi,Omar Hawsawi,0.7941666666666667,208914
51,M. Al Buraik,Mohammed Al-Breik,0.77575,221370
52,S. Al Faraj,Salman Al-Faraj,0.7300772311212815,191269
53,Y. Al Shehri,Yahya Al-Shehri,0.8106951871657754,209281
54,H. Bahebri,Hattan Bahebri,0.7666307713016557,208974
55,M. Al Sahlawi,Mohammad Al-Sahlawi,0.7571428571428571,208916
56,A. Al Khaibari,Abdulmalek Al-Khaibri,0.6992520486168399,191843
57,M. Kanno,Mohamed Kanno,0.7339285714285715,220075
58,Y. Al Shahrani,Yasser Al-Shahrani,0.7520058888479941,210603
59,A. Al Bulayhi,Abdullah Otayf,0.7388311688311688,229851
60,A. Al Khaibari,Abdullah Al-Khaibari,0.7627661169415292,237721
61,H. Al Moqahwi,Housain Al-Mogahwi,0.6675,209569
62,T. Al Jassam,Taisir Al-Jassim,0.7300772311212815,168883
63,S. Al Dawsari,Salem Al-Dawsari,0.7560439560439561,210602
64,F. Al Muwallad,Fahad Al-Muwallad,0.7644736842105263,208977
65,M. Khubrani,Muhannad Assiri,0.7331274703557311,228624
66,Y. Al Mosailem,Yasser Al-Mosailem,0.7898095238095237,197496
67,M. Al Owais,Mohammed Al-Owais,0.7775000000000001,210923
68,M. Hawsawi,Motaz Hawsawi,0.8297058823529413,225060
69,Fernando,Fernando Muslera,0.8899663299663298,184134
70,J. Giménez,José Giménez,0.8796666666666666,216460
71,Diego Costa,Diego Godín,0.893006993006993,179844
72,Guillermo,Guillermo Varela,0.8243478260869566,205158
73,C. Sánchez,Carlos Sánchez,0.8356598016781083,205510
74,R. Bentancur,Rodrigo Bentancur,0.8340526315789474,227535
