,Linked Name,Name,dist,id
0,E. El Hadary,Essam El-Hadary,6,188033
1,A. Gabr,Ali Gabr,2,226077
2,A. Elmohamady,Ahmed Elmohamady,4,191005
3,M. Haber,Omar Gaber,13,212783
4,S. Morsy,Sam Morsy,2,197975
5,A. Hegazi,Ahmed Hegazi,4,210648
6,M. Al Fatil,Ahmed Fathy,8,0
7,T. Hamed,Tarek Hamed,10,222134
8,M. Ben Amor,Marwan Mohsen,11,211453
9,M. Salah,Mohamed Salah,6,209331
10,Kahraba,Kahraba,1,219740
11,A. Aseri,Ayman Ashraf,8,228203
12,M. Abdul Shafy,Mohamed Abdel-Shafy,9,212088
13,R. Sobhi,Ramadan Sobhi,6,233601
14,Momo,Mahmoud Hamdy,13,0
15,A. Kurdy,Sherif Ekramy,11,169423
16,M. Elneny,Mohamed Elneny,6,213051
17,Shikabala,Shikabala,1,170828
18,A. El-Said,Abdallah Said,11,197300
19,Claudemir,Saad Samir,7,218430
20,Trezeguet,Trézéguet,6,226078
21,A. Cordaz,Amr Warda,10,233600
22,O. Al Soma,Mohamed El-Shenawy,15,203766
23,I. Akinfeev,Igor Akinfeev,3,148119
24,Mário Fernandes,Mário Fernandes,0,193525
25,I. Kutepov,Ilya Kutepov,3,210468
26,S. Ignashevich,Sergei Ignashevich,5,112542
27,A. Semenov,Andrei Semyonov,13,211592
28,D. Cheryshev,Denis Cheryshev,7,206225
29,D. Kuzyaev,Daler Kuzyayev,9,223058
30,Y. Gazinskiy,Yury Gazinsky,7,216335
31,A. Dzagoev,Alan Dzagoev,3,187735
32,F. Smolov,Fyodor Smolov,8,187491
33,R. Zobnin,Roman Zobnin,4,213160
34,A. Lunev,Andrey Lunyov,11,229909
35,F. Kudryashov,Fyodor Kudryashov,5,181795
36,V. Granat,Vladimir Granat,7,187415
37,A. Miranchuk,Aleksei Miranchuk,6,214092
38,A. Miranchuk,Anton Miranchuk,4,222368
39,A. Golovin,Aleksandr Golovin,8,225663
40,Y. Zhirkov,Yuri Zhirkov,7,154950
41,A. Samedov,Aleksandr Samedov,8,147621
42,V. Gabulov,Vladimir Gabulov,10,147579
43,A. Erokhin,Aleksandr Yerokhin,14,203629
44,A. Dzyuba,Artem Dzyuba,4,187607
45,I. Smolnikov,Igor Smolnikov,7,187347
46,A. Al Mayoof,Abdullah Al-Mayouf,10,210140
47,M. Al Harbi,Mansoor Al-Harbi,8,210147
