Player,Pos.,Date of birth,Caps,Goals,Club,Country
Essam El-Hadary (captain),GK,15 January 1973,158,0,Al-Taawoun,Egypt
Ali Gabr,DF,1 January 1989,21,1,West Bromwich Albion,Egypt
Ahmed Elmohamady,DF,9 September 1987,78,2,Aston Villa,Egypt
Omar Gaber,MF,30 January 1992,24,0,Los Angeles FC,Egypt
Sam Morsy,MF,10 September 1991,5,0,Wigan Athletic,Egypt
Ahmed Hegazi,DF,25 January 1991,45,1,West Bromwich Albion,Egypt
Ahmed Fathy,DF,10 November 1984,126,3,Al Ahly,Egypt
Tarek Hamed,MF,24 October 1988,21,0,Zamalek,Egypt
Marwan Mohsen,FW,26 February 1989,24,4,Al Ahly,Egypt
Mohamed Salah,FW,15 June 1992,57,33,Liverpool,Egypt
Kahraba,FW,13 April 1994,19,3,Al-Ittihad,Egypt
Ayman Ashraf,DF,9 April 1991,4,0,Al Ahly,Egypt
Mohamed Abdel-Shafy,DF,1 July 1985,51,1,Al-Fateh,Egypt
Ramadan Sobhi,FW,23 January 1997,23,1,Stoke City,Egypt
Mahmoud Hamdy,DF,1 June 1995,0,0,Zamalek,Egypt
Sherif Ekramy,GK,10 July 1983,22,0,Al Ahly,Egypt
Mohamed Elneny,MF,11 July 1992,61,5,Arsenal,Egypt
Shikabala,FW,5 March 1986,29,2,Al-Raed,Egypt
Abdallah Said,MF,13 July 1985,36,6,KuPS,Egypt
Saad Samir,DF,1 April 1989,11,0,Al Ahly,Egypt
Trézéguet,MF,1 October 1994,24,2,Kasımpaşa,Egypt
Amr Warda,FW,17 September 1993,16,0,Atromitos,Egypt
Mohamed El-Shenawy,GK,18 December 1988,3,0,Al Ahly,Egypt
Igor Akinfeev (captain),GK,8 April 1986,106,0,CSKA Moscow,Russia
Mário Fernandes,DF,19 September 1990,5,0,CSKA Moscow,Russia
Ilya Kutepov,DF,29 July 1993,7,0,Spartak Moscow,Russia
Sergei Ignashevich,DF,14 July 1979,122,8,CSKA Moscow,Russia
Andrei Semyonov,DF,24 March 1989,6,0,Akhmat Grozny,Russia
Denis Cheryshev,MF,26 December 1990,11,0,Villarreal,Russia
Daler Kuzyayev,MF,15 January 1993,6,0,Zenit Saint Petersburg,Russia
Yury Gazinsky,MF,20 July 1989,6,0,Krasnodar,Russia
Alan Dzagoev,MF,17 June 1990,57,9,CSKA Moscow,Russia
Fyodor Smolov,FW,9 February 1990,32,12,Krasnodar,Russia
Roman Zobnin,MF,11 February 1994,12,0,Spartak Moscow,Russia
Andrey Lunyov,GK,13 November 1991,3,0,Zenit Saint Petersburg,Russia
Fyodor Kudryashov,DF,5 April 1987,19,0,Rubin Kazan,Russia
Vladimir Granat,DF,22 May 1987,12,1,Rubin Kazan,Russia
Aleksei Miranchuk,MF,17 October 1995,18,4,Lokomotiv Moscow,Russia
Anton Miranchuk,MF,17 October 1995,6,0,Lokomotiv Moscow,Russia
Aleksandr Golovin,MF,30 May 1996,19,2,CSKA Moscow,Russia
Yuri Zhirkov,MF,20 August 1983,84,2,Zenit Saint Petersburg,Russia
Aleksandr Samedov,MF,19 July 1984,48,7,Spartak Moscow,Russia
